event_count,event_code,game_time,title,world,accuracy_group
99,4030,48458,Sandcastle Builder (Activity),MAGMAPEAK,NA
100,4035,48575,Sandcastle Builder (Activity),MAGMAPEAK,NA
101,4030,48675,Sandcastle Builder (Activity),MAGMAPEAK,NA
102,4035,48842,Sandcastle Builder (Activity),MAGMAPEAK,NA
103,4030,48942,Sandcastle Builder (Activity),MAGMAPEAK,NA
104,4035,49091,Sandcastle Builder (Activity),MAGMAPEAK,NA
105,4030,49225,Sandcastle Builder (Activity),MAGMAPEAK,NA
106,4035,49325,Sandcastle Builder (Activity),MAGMAPEAK,NA
107,4030,49858,Sandcastle Builder (Activity),MAGMAPEAK,NA
108,4035,50009,Sandcastle Builder (Activity),MAGMAPEAK,NA
109,4030,50661,Sandcastle Builder (Activity),MAGMAPEAK,NA
110,4035,50758,Sandcastle Builder (Activity),MAGMAPEAK,NA
111,4030,51292,Sandcastle Builder (Activity),MAGMAPEAK,NA
112,4035,51425,Sandcastle Builder (Activity),MAGMAPEAK,NA
113,4030,51892,Sandcastle Builder (Activity),MAGMAPEAK,NA
114,4035,52042,Sandcastle Builder (Activity),MAGMAPEAK,NA
115,4030,52608,Sandcastle Builder (Activity),MAGMAPEAK,NA
116,4035,52758,Sandcastle Builder (Activity),MAGMAPEAK,NA
117,4030,53008,Sandcastle Builder (Activity),MAGMAPEAK,NA
118,4035,53175,Sandcastle Builder (Activity),MAGMAPEAK,NA
119,4030,53509,Sandcastle Builder (Activity),MAGMAPEAK,NA
120,4035,53658,Sandcastle Builder (Activity),MAGMAPEAK,NA
121,4070,54042,Sandcastle Builder (Activity),MAGMAPEAK,NA
122,4070,54875,Sandcastle Builder (Activity),MAGMAPEAK,NA
123,4030,55375,Sandcastle Builder (Activity),MAGMAPEAK,NA
124,4035,55509,Sandcastle Builder (Activity),MAGMAPEAK,NA
125,4070,56426,Sandcastle Builder (Activity),MAGMAPEAK,NA
126,4070,56892,Sandcastle Builder (Activity),MAGMAPEAK,NA
127,4070,57625,Sandcastle Builder (Activity),MAGMAPEAK,NA
128,4030,58159,Sandcastle Builder (Activity),MAGMAPEAK,NA
129,4035,58242,Sandcastle Builder (Activity),MAGMAPEAK,NA
130,4030,58609,Sandcastle Builder (Activity),MAGMAPEAK,NA
131,4035,58776,Sandcastle Builder (Activity),MAGMAPEAK,NA
132,4030,59242,Sandcastle Builder (Activity),MAGMAPEAK,NA
133,4035,59376,Sandcastle Builder (Activity),MAGMAPEAK,NA
134,4030,59676,Sandcastle Builder (Activity),MAGMAPEAK,NA
135,4035,59843,Sandcastle Builder (Activity),MAGMAPEAK,NA
136,4070,60109,Sandcastle Builder (Activity),MAGMAPEAK,NA
137,4070,60392,Sandcastle Builder (Activity),MAGMAPEAK,NA
138,4070,60693,Sandcastle Builder (Activity),MAGMAPEAK,NA
139,4030,61411,Sandcastle Builder (Activity),MAGMAPEAK,NA
140,4035,61709,Sandcastle Builder (Activity),MAGMAPEAK,NA
141,4070,62309,Sandcastle Builder (Activity),MAGMAPEAK,NA
142,4030,63376,Sandcastle Builder (Activity),MAGMAPEAK,NA
143,4035,63609,Sandcastle Builder (Activity),MAGMAPEAK,NA
144,4030,64910,Sandcastle Builder (Activity),MAGMAPEAK,NA
145,4035,65126,Sandcastle Builder (Activity),MAGMAPEAK,NA
146,4030,66527,Sandcastle Builder (Activity),MAGMAPEAK,NA
147,4035,66727,Sandcastle Builder (Activity),MAGMAPEAK,NA
148,4070,67576,Sandcastle Builder (Activity),MAGMAPEAK,NA
149,4070,68077,Sandcastle Builder (Activity),MAGMAPEAK,NA
150,4070,68360,Sandcastle Builder (Activity),MAGMAPEAK,NA
151,4030,69160,Sandcastle Builder (Activity),MAGMAPEAK,NA
152,4021,71710,Sandcastle Builder (Activity),MAGMAPEAK,NA
153,4030,72927,Sandcastle Builder (Activity),MAGMAPEAK,NA
154,4021,74377,Sandcastle Builder (Activity),MAGMAPEAK,NA
155,4070,75260,Sandcastle Builder (Activity),MAGMAPEAK,NA
156,4030,75970,Sandcastle Builder (Activity),MAGMAPEAK,NA
157,3010,77427,Sandcastle Builder (Activity),MAGMAPEAK,NA
158,4021,77427,Sandcastle Builder (Activity),MAGMAPEAK,NA
159,3110,79644,Sandcastle Builder (Activity),MAGMAPEAK,NA
160,4030,80512,Sandcastle Builder (Activity),MAGMAPEAK,NA
161,4035,81811,Sandcastle Builder (Activity),MAGMAPEAK,NA
162,4070,83211,Sandcastle Builder (Activity),MAGMAPEAK,NA
163,4030,83911,Sandcastle Builder (Activity),MAGMAPEAK,NA
164,4035,84911,Sandcastle Builder (Activity),MAGMAPEAK,NA
165,4030,86728,Sandcastle Builder (Activity),MAGMAPEAK,NA
166,4020,87294,Sandcastle Builder (Activity),MAGMAPEAK,NA
167,3010,87294,Sandcastle Builder (Activity),MAGMAPEAK,NA
168,3110,88544,Sandcastle Builder (Activity),MAGMAPEAK,NA
169,4070,90928,Sandcastle Builder (Activity),MAGMAPEAK,NA
170,4070,91878,Sandcastle Builder (Activity),MAGMAPEAK,NA
171,4070,92528,Sandcastle Builder (Activity),MAGMAPEAK,NA
172,3010,99295,Sandcastle Builder (Activity),MAGMAPEAK,NA
173,4070,100695,Sandcastle Builder (Activity),MAGMAPEAK,NA
174,4030,101329,Sandcastle Builder (Activity),MAGMAPEAK,NA
175,3110,101379,Sandcastle Builder (Activity),MAGMAPEAK,NA
176,3010,101429,Sandcastle Builder (Activity),MAGMAPEAK,NA
177,4035,102362,Sandcastle Builder (Activity),MAGMAPEAK,NA
178,3110,103113,Sandcastle Builder (Activity),MAGMAPEAK,NA
179,4070,103579,Sandcastle Builder (Activity),MAGMAPEAK,NA
180,4030,103829,Sandcastle Builder (Activity),MAGMAPEAK,NA
181,3010,105479,Sandcastle Builder (Activity),MAGMAPEAK,NA
182,4021,105479,Sandcastle Builder (Activity),MAGMAPEAK,NA
183,4030,106829,Sandcastle Builder (Activity),MAGMAPEAK,NA
184,4021,108396,Sandcastle Builder (Activity),MAGMAPEAK,NA
185,4070,109329,Sandcastle Builder (Activity),MAGMAPEAK,NA
186,3110,109729,Sandcastle Builder (Activity),MAGMAPEAK,NA
187,4070,110296,Sandcastle Builder (Activity),MAGMAPEAK,NA
188,4030,110863,Sandcastle Builder (Activity),MAGMAPEAK,NA
189,4021,112247,Sandcastle Builder (Activity),MAGMAPEAK,NA
190,4030,115246,Sandcastle Builder (Activity),MAGMAPEAK,NA
191,4020,115796,Sandcastle Builder (Activity),MAGMAPEAK,NA
192,3010,115796,Sandcastle Builder (Activity),MAGMAPEAK,NA
193,4030,116746,Sandcastle Builder (Activity),MAGMAPEAK,NA
194,3110,117013,Sandcastle Builder (Activity),MAGMAPEAK,NA
195,4030,117466,Sandcastle Builder (Activity),MAGMAPEAK,NA
196,4020,119447,Sandcastle Builder (Activity),MAGMAPEAK,NA
197,3010,119447,Sandcastle Builder (Activity),MAGMAPEAK,NA
198,4070,120547,Sandcastle Builder (Activity),MAGMAPEAK,NA
199,3110,120663,Sandcastle Builder (Activity),MAGMAPEAK,NA
200,4070,122880,Sandcastle Builder (Activity),MAGMAPEAK,NA
201,4030,123697,Sandcastle Builder (Activity),MAGMAPEAK,NA
202,4021,125164,Sandcastle Builder (Activity),MAGMAPEAK,NA
203,4070,125998,Sandcastle Builder (Activity),MAGMAPEAK,NA
204,4030,126830,Sandcastle Builder (Activity),MAGMAPEAK,NA
205,3010,126964,Sandcastle Builder (Activity),MAGMAPEAK,NA
206,4021,128048,Sandcastle Builder (Activity),MAGMAPEAK,NA
207,3110,128247,Sandcastle Builder (Activity),MAGMAPEAK,NA
208,4030,128881,Sandcastle Builder (Activity),MAGMAPEAK,NA
210,4021,130031,Sandcastle Builder (Activity),MAGMAPEAK,NA
209,3010,130031,Sandcastle Builder (Activity),MAGMAPEAK,NA
211,4030,130732,Sandcastle Builder (Activity),MAGMAPEAK,NA
212,3110,131715,Sandcastle Builder (Activity),MAGMAPEAK,NA
213,4020,132781,Sandcastle Builder (Activity),MAGMAPEAK,NA
214,3010,132781,Sandcastle Builder (Activity),MAGMAPEAK,NA
215,3110,133998,Sandcastle Builder (Activity),MAGMAPEAK,NA
216,4070,135848,Sandcastle Builder (Activity),MAGMAPEAK,NA
217,4030,136698,Sandcastle Builder (Activity),MAGMAPEAK,NA
218,3010,137848,Sandcastle Builder (Activity),MAGMAPEAK,NA
219,4021,137848,Sandcastle Builder (Activity),MAGMAPEAK,NA
220,3110,138565,Sandcastle Builder (Activity),MAGMAPEAK,NA
221,4070,138681,Sandcastle Builder (Activity),MAGMAPEAK,NA
222,4030,139365,Sandcastle Builder (Activity),MAGMAPEAK,NA
223,3010,140715,Sandcastle Builder (Activity),MAGMAPEAK,NA
224,4021,140715,Sandcastle Builder (Activity),MAGMAPEAK,NA
225,4030,141615,Sandcastle Builder (Activity),MAGMAPEAK,NA
226,3110,142365,Sandcastle Builder (Activity),MAGMAPEAK,NA
227,4020,145199,Sandcastle Builder (Activity),MAGMAPEAK,NA
228,3010,145199,Sandcastle Builder (Activity),MAGMAPEAK,NA
229,3110,146415,Sandcastle Builder (Activity),MAGMAPEAK,NA
230,4070,147165,Sandcastle Builder (Activity),MAGMAPEAK,NA
231,4030,147999,Sandcastle Builder (Activity),MAGMAPEAK,NA
232,4035,148649,Sandcastle Builder (Activity),MAGMAPEAK,NA
233,4030,150032,Sandcastle Builder (Activity),MAGMAPEAK,NA
235,4021,151633,Sandcastle Builder (Activity),MAGMAPEAK,NA
234,3010,151633,Sandcastle Builder (Activity),MAGMAPEAK,NA
236,4030,152349,Sandcastle Builder (Activity),MAGMAPEAK,NA
237,3110,153299,Sandcastle Builder (Activity),MAGMAPEAK,NA
238,4020,156516,Sandcastle Builder (Activity),MAGMAPEAK,NA
239,3010,156516,Sandcastle Builder (Activity),MAGMAPEAK,NA
240,3110,157733,Sandcastle Builder (Activity),MAGMAPEAK,NA
241,4070,158449,Sandcastle Builder (Activity),MAGMAPEAK,NA
242,4070,165284,Sandcastle Builder (Activity),MAGMAPEAK,NA
243,4030,166017,Sandcastle Builder (Activity),MAGMAPEAK,NA
244,4035,169717,Sandcastle Builder (Activity),MAGMAPEAK,NA
245,4030,172284,Sandcastle Builder (Activity),MAGMAPEAK,NA
246,4035,173501,Sandcastle Builder (Activity),MAGMAPEAK,NA
247,4030,175067,Sandcastle Builder (Activity),MAGMAPEAK,NA
248,4070,175851,Sandcastle Builder (Activity),MAGMAPEAK,NA
249,4035,175882,Sandcastle Builder (Activity),MAGMAPEAK,NA
250,4070,175934,Sandcastle Builder (Activity),MAGMAPEAK,NA
251,4030,177501,Sandcastle Builder (Activity),MAGMAPEAK,NA
252,4035,178184,Sandcastle Builder (Activity),MAGMAPEAK,NA
253,4070,179034,Sandcastle Builder (Activity),MAGMAPEAK,NA
254,4030,179851,Sandcastle Builder (Activity),MAGMAPEAK,NA
255,4021,180901,Sandcastle Builder (Activity),MAGMAPEAK,NA
256,4030,182951,Sandcastle Builder (Activity),MAGMAPEAK,NA
257,4021,184285,Sandcastle Builder (Activity),MAGMAPEAK,NA
258,4030,185268,Sandcastle Builder (Activity),MAGMAPEAK,NA
259,3010,186602,Sandcastle Builder (Activity),MAGMAPEAK,NA
260,4021,186602,Sandcastle Builder (Activity),MAGMAPEAK,NA
261,4030,187118,Sandcastle Builder (Activity),MAGMAPEAK,NA
262,3110,188252,Sandcastle Builder (Activity),MAGMAPEAK,NA
263,4020,189518,Sandcastle Builder (Activity),MAGMAPEAK,NA
264,3010,189518,Sandcastle Builder (Activity),MAGMAPEAK,NA
265,3110,190735,Sandcastle Builder (Activity),MAGMAPEAK,NA
266,4030,191135,Sandcastle Builder (Activity),MAGMAPEAK,NA
267,4035,194335,Sandcastle Builder (Activity),MAGMAPEAK,NA
1,2000,0,Sandcastle Builder (Activity),MAGMAPEAK,NA
2,3010,44,Sandcastle Builder (Activity),MAGMAPEAK,NA
3,4070,3713,Sandcastle Builder (Activity),MAGMAPEAK,NA
4,4070,4333,Sandcastle Builder (Activity),MAGMAPEAK,NA
5,4070,4813,Sandcastle Builder (Activity),MAGMAPEAK,NA
6,4070,5413,Sandcastle Builder (Activity),MAGMAPEAK,NA
7,4070,5896,Sandcastle Builder (Activity),MAGMAPEAK,NA
8,4070,6629,Sandcastle Builder (Activity),MAGMAPEAK,NA
9,3110,6929,Sandcastle Builder (Activity),MAGMAPEAK,NA
10,4030,8230,Sandcastle Builder (Activity),MAGMAPEAK,NA
11,4021,9880,Sandcastle Builder (Activity),MAGMAPEAK,NA
12,4070,10713,Sandcastle Builder (Activity),MAGMAPEAK,NA
13,4030,11363,Sandcastle Builder (Activity),MAGMAPEAK,NA
14,3010,12563,Sandcastle Builder (Activity),MAGMAPEAK,NA
15,4021,12563,Sandcastle Builder (Activity),MAGMAPEAK,NA
16,3110,13280,Sandcastle Builder (Activity),MAGMAPEAK,NA
17,4070,13313,Sandcastle Builder (Activity),MAGMAPEAK,NA
18,4030,14013,Sandcastle Builder (Activity),MAGMAPEAK,NA
19,3010,15263,Sandcastle Builder (Activity),MAGMAPEAK,NA
20,4021,15263,Sandcastle Builder (Activity),MAGMAPEAK,NA
21,4030,16081,Sandcastle Builder (Activity),MAGMAPEAK,NA
22,3110,17480,Sandcastle Builder (Activity),MAGMAPEAK,NA
23,4020,18714,Sandcastle Builder (Activity),MAGMAPEAK,NA
24,3010,18714,Sandcastle Builder (Activity),MAGMAPEAK,NA
25,3110,18914,Sandcastle Builder (Activity),MAGMAPEAK,NA
26,3010,18914,Sandcastle Builder (Activity),MAGMAPEAK,NA
27,4070,20880,Sandcastle Builder (Activity),MAGMAPEAK,NA
28,3110,20947,Sandcastle Builder (Activity),MAGMAPEAK,NA
29,4030,21531,Sandcastle Builder (Activity),MAGMAPEAK,NA
31,4021,23198,Sandcastle Builder (Activity),MAGMAPEAK,NA
30,3010,23198,Sandcastle Builder (Activity),MAGMAPEAK,NA
32,3110,23248,Sandcastle Builder (Activity),MAGMAPEAK,NA
33,3010,23248,Sandcastle Builder (Activity),MAGMAPEAK,NA
34,4030,24131,Sandcastle Builder (Activity),MAGMAPEAK,NA
35,3110,24931,Sandcastle Builder (Activity),MAGMAPEAK,NA
36,4030,25257,Sandcastle Builder (Activity),MAGMAPEAK,NA
37,3010,25714,Sandcastle Builder (Activity),MAGMAPEAK,NA
38,4021,25714,Sandcastle Builder (Activity),MAGMAPEAK,NA
39,4030,26381,Sandcastle Builder (Activity),MAGMAPEAK,NA
40,3110,27398,Sandcastle Builder (Activity),MAGMAPEAK,NA
41,4020,30848,Sandcastle Builder (Activity),MAGMAPEAK,NA
42,3010,30848,Sandcastle Builder (Activity),MAGMAPEAK,NA
43,4030,31821,Sandcastle Builder (Activity),MAGMAPEAK,NA
44,3110,32065,Sandcastle Builder (Activity),MAGMAPEAK,NA
45,4035,33182,Sandcastle Builder (Activity),MAGMAPEAK,NA
46,4070,35281,Sandcastle Builder (Activity),MAGMAPEAK,NA
47,4030,35831,Sandcastle Builder (Activity),MAGMAPEAK,NA
49,4021,37132,Sandcastle Builder (Activity),MAGMAPEAK,NA
48,3010,37132,Sandcastle Builder (Activity),MAGMAPEAK,NA
50,4030,37732,Sandcastle Builder (Activity),MAGMAPEAK,NA
51,3110,39265,Sandcastle Builder (Activity),MAGMAPEAK,NA
52,3010,39265,Sandcastle Builder (Activity),MAGMAPEAK,NA
53,4020,39882,Sandcastle Builder (Activity),MAGMAPEAK,NA
54,3110,39882,Sandcastle Builder (Activity),MAGMAPEAK,NA
55,3010,39882,Sandcastle Builder (Activity),MAGMAPEAK,NA
56,3110,41099,Sandcastle Builder (Activity),MAGMAPEAK,NA
57,4070,43349,Sandcastle Builder (Activity),MAGMAPEAK,NA
58,4070,44549,Sandcastle Builder (Activity),MAGMAPEAK,NA
59,4030,45115,Sandcastle Builder (Activity),MAGMAPEAK,NA
60,3010,47766,Sandcastle Builder (Activity),MAGMAPEAK,NA
61,4021,47766,Sandcastle Builder (Activity),MAGMAPEAK,NA
62,3110,48466,Sandcastle Builder (Activity),MAGMAPEAK,NA
63,4030,48533,Sandcastle Builder (Activity),MAGMAPEAK,NA
64,4021,49849,Sandcastle Builder (Activity),MAGMAPEAK,NA
65,4030,50699,Sandcastle Builder (Activity),MAGMAPEAK,NA
66,3010,51799,Sandcastle Builder (Activity),MAGMAPEAK,NA
67,4021,51799,Sandcastle Builder (Activity),MAGMAPEAK,NA
68,4030,52200,Sandcastle Builder (Activity),MAGMAPEAK,NA
69,3110,53449,Sandcastle Builder (Activity),MAGMAPEAK,NA
70,4020,53733,Sandcastle Builder (Activity),MAGMAPEAK,NA
71,3010,53733,Sandcastle Builder (Activity),MAGMAPEAK,NA
72,3110,54950,Sandcastle Builder (Activity),MAGMAPEAK,NA
73,4030,54999,Sandcastle Builder (Activity),MAGMAPEAK,NA
74,4035,56683,Sandcastle Builder (Activity),MAGMAPEAK,NA
75,4030,57716,Sandcastle Builder (Activity),MAGMAPEAK,NA
76,4035,58766,Sandcastle Builder (Activity),MAGMAPEAK,NA
77,4030,61067,Sandcastle Builder (Activity),MAGMAPEAK,NA
78,3010,62400,Sandcastle Builder (Activity),MAGMAPEAK,NA
79,4021,62400,Sandcastle Builder (Activity),MAGMAPEAK,NA
80,3110,63100,Sandcastle Builder (Activity),MAGMAPEAK,NA
81,4070,63333,Sandcastle Builder (Activity),MAGMAPEAK,NA
82,4070,63917,Sandcastle Builder (Activity),MAGMAPEAK,NA
83,4070,64550,Sandcastle Builder (Activity),MAGMAPEAK,NA
84,4070,65116,Sandcastle Builder (Activity),MAGMAPEAK,NA
85,4070,65634,Sandcastle Builder (Activity),MAGMAPEAK,NA
86,4030,66184,Sandcastle Builder (Activity),MAGMAPEAK,NA
87,3010,67767,Sandcastle Builder (Activity),MAGMAPEAK,NA
88,4021,67767,Sandcastle Builder (Activity),MAGMAPEAK,NA
89,4030,68317,Sandcastle Builder (Activity),MAGMAPEAK,NA
90,3110,69434,Sandcastle Builder (Activity),MAGMAPEAK,NA
91,4020,70501,Sandcastle Builder (Activity),MAGMAPEAK,NA
92,3010,70501,Sandcastle Builder (Activity),MAGMAPEAK,NA
93,3110,71717,Sandcastle Builder (Activity),MAGMAPEAK,NA
1,2000,0,Scrub-A-Dub,MAGMAPEAK,NA
2,4010,4205,Scrub-A-Dub,MAGMAPEAK,NA
3,2080,6057,Scrub-A-Dub,MAGMAPEAK,NA
4,2083,19873,Scrub-A-Dub,MAGMAPEAK,NA
5,2040,21873,Scrub-A-Dub,MAGMAPEAK,NA
6,2020,21873,Scrub-A-Dub,MAGMAPEAK,NA
7,3010,21873,Scrub-A-Dub,MAGMAPEAK,NA
8,4070,23207,Scrub-A-Dub,MAGMAPEAK,NA
9,3110,24773,Scrub-A-Dub,MAGMAPEAK,NA
10,4020,24773,Scrub-A-Dub,MAGMAPEAK,NA
11,2030,26474,Scrub-A-Dub,MAGMAPEAK,NA
12,2020,26474,Scrub-A-Dub,MAGMAPEAK,NA
13,3010,26474,Scrub-A-Dub,MAGMAPEAK,NA
14,4070,28174,Scrub-A-Dub,MAGMAPEAK,NA
15,3110,28824,Scrub-A-Dub,MAGMAPEAK,NA
16,4020,28824,Scrub-A-Dub,MAGMAPEAK,NA
17,3021,30657,Scrub-A-Dub,MAGMAPEAK,NA
18,4070,31358,Scrub-A-Dub,MAGMAPEAK,NA
19,3121,35541,Scrub-A-Dub,MAGMAPEAK,NA
21,2050,35541,Scrub-A-Dub,MAGMAPEAK,NA
20,2030,35541,Scrub-A-Dub,MAGMAPEAK,NA
24,3010,37174,Scrub-A-Dub,MAGMAPEAK,NA
22,2040,37174,Scrub-A-Dub,MAGMAPEAK,NA
23,2020,37174,Scrub-A-Dub,MAGMAPEAK,NA
25,3110,39808,Scrub-A-Dub,MAGMAPEAK,NA
26,4020,39808,Scrub-A-Dub,MAGMAPEAK,NA
27,4070,41241,Scrub-A-Dub,MAGMAPEAK,NA
28,2030,41491,Scrub-A-Dub,MAGMAPEAK,NA
30,3010,41491,Scrub-A-Dub,MAGMAPEAK,NA
29,2020,41491,Scrub-A-Dub,MAGMAPEAK,NA
31,3110,41975,Scrub-A-Dub,MAGMAPEAK,NA
32,4020,41975,Scrub-A-Dub,MAGMAPEAK,NA
33,3021,43792,Scrub-A-Dub,MAGMAPEAK,NA
34,3121,48259,Scrub-A-Dub,MAGMAPEAK,NA
35,2030,48259,Scrub-A-Dub,MAGMAPEAK,NA
36,2050,48259,Scrub-A-Dub,MAGMAPEAK,NA
37,2040,50375,Scrub-A-Dub,MAGMAPEAK,NA
39,3010,50375,Scrub-A-Dub,MAGMAPEAK,NA
38,2020,50375,Scrub-A-Dub,MAGMAPEAK,NA
40,3110,52112,Scrub-A-Dub,MAGMAPEAK,NA
