sid,schid,distid,al_grp_avg,al_sr_grp_avg,al_is_grp_avg,e_ma_grp_avg,e_lit_ln_grp_avg,e_lit_ls_grp_avg,gender,ethnic_cd,al_admn_cd,al_atmpt_cd,al_s_ravg,al_i_savg,al_to_tavg,e_ma_admn_cd,e_ma_atmpt_cd,e_ma_to_tscore,e_lit_ln_atmpt_cd,e_lit_ln_admn_cd,e_lit_l_ncorr,e_lit_ls_atmpt_cd,e_lit_ls_admn_cd,e_lit_l_scorr
54,115,62,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4,3.9333,0,Y,0,Y,0,44,Y,0,29
55,149,76,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4,3.9333,0,Y,11,Y,0,44,Y,0,16
56,426,151,Y,Y,Y,Y,Y,Y,F,W,0,Y,1.9,2.6,2.1333,0,Y,8,Y,0,19,Y,0,9
57,502,172,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.6,4.4,4.5333,0,Y,5,Y,0,0,Y,0,18
58,219,94,N,N,N,Y,Y,Y,F,W,5,N,NA,NA,NA,0,Y,2,Y,0,41,Y,0,16
59,79,38,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.7,5,4.8,0,Y,6,Y,0,0,Y,0,0
60,79,38,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.7,3.8,3.0667,0,Y,10,Y,0,15,Y,0,0
61,79,38,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.4,4,3.6,0,Y,8,Y,0,22,Y,0,0
62,426,151,Y,Y,Y,Y,Y,Y,M,W,0,Y,2,1,1.6667,0,Y,7,Y,0,7,Y,0,2
63,381,133,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.9,4.75,4.1333,0,Y,5,Y,0,14,Y,0,5
64,156,79,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.9,2.8,2.8667,0,Y,4,Y,0,5,Y,0,0
65,665,38,Y,Y,Y,Y,Y,Y,M,H,0,Y,3,3.8,3.2667,0,Y,10,Y,0,1,Y,0,0
66,684,171,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.7,4,3.8,0,Y,6,Y,0,29,Y,0,1
67,435,150,Y,Y,Y,Y,Y,Y,F,M,0,Y,5,5,5,0,Y,6,Y,0,6,Y,0,0
68,737,124,Y,Y,Y,Y,Y,Y,M,W,0,Y,5,5,5,0,Y,11,Y,0,55,Y,0,25
69,193,88,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,3.4,3.8,0,Y,7,Y,0,35,Y,0,13
70,207,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,5,Y,0,23,Y,0,4
71,138,73,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.4,3.4,3.4,0,Y,5,Y,0,6,Y,0,0
72,93,42,N,N,N,Y,Y,Y,M,W,NA,NA,NA,NA,NA,0,Y,8,Y,0,23,Y,0,0
73,552,38,Y,Y,Y,Y,Y,Y,F,M,0,Y,3.7,3.4,3.6,0,Y,8,Y,0,2,Y,0,0
74,458,168,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.5,4,3.6667,0,Y,4,Y,0,22,Y,0,2
75,711,172,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.2,3.4,2.6,0,Y,6,Y,0,1,Y,0,0
76,318,128,Y,Y,Y,Y,Y,Y,F,A,0,Y,5,5,5,0,Y,8,Y,0,38,Y,0,13
77,481,172,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.6,4,3.7333,0,Y,3,Y,0,0,Y,0,0
78,217,93,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.7,4.4,4.6,0,Y,6,Y,0,4,Y,0,0
79,656,94,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.8,4.2,3.9333,0,Y,10,Y,0,0,Y,0,2
80,101,45,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.2,2,2.1333,0,Y,6,Y,0,5,Y,0,2
81,77,35,Y,Y,Y,Y,Y,Y,F,W,0,Y,3,4,3.3333,0,Y,10,Y,0,2,Y,0,2
82,263,112,Y,Y,Y,Y,Y,Y,M,W,0,Y,5,5,5,0,Y,12,Y,0,42,Y,0,11
83,201,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.7,5,4.8,0,Y,13,Y,0,45,Y,0,21
84,14,9,Y,Y,Y,Y,Y,Y,F,H,0,Y,3,4,3.3333,0,Y,5,Y,0,5,Y,0,0
85,167,81,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.2,3,3.1333,0,Y,10,Y,0,43,Y,0,22
86,423,147,Y,Y,Y,N,N,N,M,W,0,Y,3.3,3.2,3.2667,C,Y,NA,Y,C,19,Y,C,0
87,322,129,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,3,3.5333,0,Y,8,Y,0,11,Y,0,0
88,510,176,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.8,4.2,3.9333,0,Y,7,Y,0,5,Y,0,1
89,666,170,Y,Y,Y,Y,N,N,M,H,0,Y,3.3,4.4,3.6667,0,Y,0,N,1,NA,N,1,NA
90,596,123,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.1,4,4.0667,0,Y,11,Y,0,12,Y,0,0
91,432,152,Y,Y,Y,Y,Y,Y,F,W,0,Y,3,4.6,3.5333,0,Y,6,Y,0,4,Y,0,0
92,73,34,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.9,4,3.9333,0,Y,11,Y,0,58,Y,0,0
93,163,80,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.4,3.6,4.1333,0,Y,14,Y,0,49,Y,0,35
94,424,149,Y,Y,Y,Y,Y,Y,F,H,0,Y,2,3,2.3333,0,Y,6,Y,0,0,Y,0,0
95,543,168,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,9,Y,0,25,Y,0,14
96,53,21,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.1,3.8,3.3333,0,Y,9,Y,0,8,Y,0,0
97,432,152,Y,Y,Y,Y,Y,Y,M,B,0,Y,2.7,4,3.1333,0,Y,8,Y,0,3,Y,0,0
98,164,81,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.9,4,3.9333,0,Y,11,Y,0,36,Y,0,15
99,564,171,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.2,4,2.8,0,Y,6,Y,0,15,Y,0,0
100,365,130,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.9,4,3.9333,0,Y,7,Y,0,0,Y,0,0
101,554,173,Y,Y,Y,Y,Y,Y,M,A,0,Y,3.4,3,3.2667,0,Y,6,Y,0,46,Y,0,18
102,49,17,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.4,3.8,4.2,0,Y,12,Y,0,2,Y,0,0
103,726,11,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.7,4,3.8,0,Y,5,Y,0,3,Y,0,0
104,202,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,3,3,3,0,Y,9,Y,0,24,Y,0,0
105,202,89,Y,Y,Y,Y,Y,Y,F,H,0,Y,4,4,4,0,Y,2,Y,0,18,Y,0,1
106,450,188,Y,Y,Y,Y,Y,Y,M,I,0,Y,2.9,4,3.2667,0,Y,5,Y,0,0,Y,0,0
107,208,89,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.2,4,2.8,0,Y,5,Y,0,2,Y,0,0
108,200,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4.8,4.2667,0,Y,11,Y,0,6,Y,0,1
109,540,86,Y,Y,Y,N,N,N,F,H,0,Y,1.9,2.4,2.0667,NA,NA,NA,N,1,NA,N,1,NA
110,20,10,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.3,5,3.8667,0,Y,8,Y,0,28,Y,0,6
111,51,15,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.7,4,3.8,0,Y,9,Y,0,0,Y,0,0
112,534,9,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.3,3.8,3.4667,0,Y,9,Y,0,6,Y,0,0
113,561,128,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.5,3,2.6667,0,Y,9,Y,0,1,Y,0,1
114,629,124,Y,Y,Y,Y,N,N,M,A,0,Y,3.9,4.2,4,0,Y,11,NA,NA,NA,NA,NA,NA
115,156,79,Y,Y,Y,Y,Y,Y,F,H,0,Y,1.6,3.4,2.1333,0,Y,0,Y,0,0,Y,0,0
116,47,16,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.1,2.6,2.2667,0,Y,6,Y,0,21,Y,0,9
117,92,42,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,5,4.3333,0,Y,8,Y,0,47,Y,0,21
118,149,76,Y,Y,Y,Y,Y,Y,F,H,0,Y,2.9,5,3.6,0,Y,6,Y,0,2,Y,0,1
119,414,138,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.4,3.4,2.7333,0,Y,9,Y,0,0,Y,0,0
120,414,138,Y,Y,Y,Y,Y,Y,F,B,0,Y,2.6,3.4,2.8667,0,Y,9,Y,0,16,Y,0,9
121,414,138,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.8,4,3.8667,0,Y,7,Y,0,0,Y,0,0
122,318,128,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.7,5,4.8,0,Y,11,Y,0,50,Y,0,25
123,468,171,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.1,3.4,3.8667,0,Y,7,Y,0,1,Y,0,0
124,414,138,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.9,4,3.9333,0,Y,12,Y,0,18,Y,0,10
125,240,105,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,3.6,3.8667,0,Y,12,Y,0,19,Y,0,6
126,1,1,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.9,4.8,4.2,0,Y,9,Y,0,1,Y,0,0
127,78,37,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.6,5,4.7333,0,Y,9,Y,0,27,Y,0,5
128,144,76,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.7,2.8,2.7333,0,Y,9,Y,0,0,Y,0,0
129,322,129,Y,Y,Y,Y,Y,Y,M,P,0,Y,3.8,4,3.8667,0,Y,7,Y,0,1,Y,0,0
130,682,128,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4.6,4.1333,0,Y,12,Y,0,0,Y,0,23
131,85,39,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,5,4.2667,0,Y,2,Y,0,41,Y,0,12
132,470,171,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,5,4.3333,0,Y,8,Y,0,34,Y,0,19
133,336,130,Y,Y,Y,Y,Y,Y,M,W,0,Y,1.5,1.6,1.5333,0,Y,0,Y,0,0,Y,0,0
134,593,11,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.9,5,4.2667,0,Y,7,Y,0,7,Y,0,2
135,409,136,Y,Y,Y,Y,Y,Y,F,B,0,Y,3.5,3.4,3.4667,0,Y,6,Y,0,19,Y,0,0
136,268,113,N,N,N,Y,Y,Y,M,W,NA,NA,NA,NA,NA,0,Y,4,Y,0,15,Y,0,1
137,248,105,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.8,3,2.8667,0,Y,4,Y,0,28,Y,0,2
138,466,171,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.7,5,4.8,0,Y,11,Y,0,41,Y,0,20
139,495,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.6,4,3.7333,0,Y,6,Y,0,0,Y,0,0
140,741,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.5,3.2,3.4,0,Y,7,Y,0,23,Y,0,6
141,741,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.5,4,3,0,Y,8,Y,0,10,Y,0,3
142,461,170,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4.6,4.1333,0,Y,13,Y,0,4,Y,0,0
143,468,171,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.2,4.6,4.3333,0,Y,9,Y,0,0,Y,0,21
144,1,1,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,10,Y,0,20,Y,0,1
145,463,170,Y,Y,Y,Y,Y,Y,F,M,0,Y,3.3,3.6,3.4,0,Y,9,Y,0,28,Y,0,9
146,30,16,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.9,4.4,4.0667,0,Y,8,Y,0,1,Y,0,0
147,303,124,Y,Y,Y,Y,Y,Y,M,P,0,Y,2.4,3.6,2.8,0,Y,5,Y,0,6,Y,0,0
148,313,125,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.7,5,4.8,0,Y,11,Y,0,44,Y,0,16
149,739,9,Y,Y,Y,Y,Y,Y,F,H,0,Y,4,4,4,0,Y,13,Y,0,0,Y,0,0
150,98,42,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.2,5,4.4667,0,Y,7,Y,0,2,Y,0,0
151,741,89,Y,Y,Y,Y,Y,Y,F,A,0,Y,4.6,5,4.7333,0,Y,9,Y,0,71,Y,0,35
152,80,38,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.6,4.8,4.6667,0,Y,12,Y,0,57,Y,0,37
153,105,49,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.5,4.6,4.5333,0,Y,11,Y,0,8,Y,0,3
154,424,149,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,11,Y,0,31,Y,0,4
155,25,11,Y,Y,Y,Y,Y,Y,M,H,0,Y,3,4,3.3333,0,Y,8,Y,0,1,Y,0,0
156,424,149,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,5,4.3333,0,Y,4,Y,0,1,Y,0,0
157,156,79,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.2,4,3.4667,0,Y,6,Y,0,4,Y,0,0
158,508,173,N,N,N,Y,Y,Y,M,W,NA,NA,NA,NA,NA,0,Y,6,Y,0,32,Y,0,7
159,664,9,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,3.6,3.5333,0,Y,9,Y,0,17,Y,0,9
160,664,9,Y,Y,Y,Y,Y,Y,M,W,0,Y,1.2,1.2,1.2,0,Y,9,Y,0,5,Y,0,0
161,484,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.4,5,3.9333,0,Y,10,Y,0,1,Y,0,0
162,489,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.8,5,4.8667,0,Y,8,Y,0,8,Y,0,1
163,124,69,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.8,4,3.8667,0,Y,5,Y,0,19,Y,0,2
164,429,150,Y,Y,Y,Y,Y,Y,M,M,0,Y,3.1,3.8,3.3333,0,Y,11,Y,0,18,Y,0,7
165,425,151,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.8,4.8,4.8,0,Y,11,Y,0,0,Y,0,0
166,433,152,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.5,3,3.3333,0,Y,7,Y,0,35,Y,0,19
167,206,89,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.9,4,3.9333,0,Y,3,Y,0,0,Y,0,0
168,84,39,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.6,4,3.7333,0,Y,8,Y,0,1,Y,0,4
169,156,79,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.6,4,3.7143,0,Y,6,Y,0,19,Y,0,2
170,665,38,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.4,4.8,4.5333,0,Y,10,Y,0,31,Y,0,21
171,79,38,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.3,4,3.5333,0,Y,7,Y,0,1,Y,0,0
172,65,29,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4.6,4.2,0,Y,12,Y,0,19,Y,0,7
173,55,22,Y,Y,Y,Y,Y,Y,M,W,0,Y,1,1,1,0,Y,5,Y,0,12,Y,0,0
174,675,38,Y,Y,Y,Y,Y,Y,M,H,0,Y,2.7,4,3.1333,0,Y,8,Y,0,35,Y,0,9
175,478,168,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.5,4,3.6667,0,Y,8,Y,0,14,Y,0,2
176,478,168,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.8,5,4.8667,0,Y,11,Y,0,47,Y,0,41
177,340,130,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.5,2.8,2.6,0,Y,5,Y,0,36,Y,0,9
178,399,134,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.4,4,3.6,0,Y,3,Y,0,2,Y,0,0
179,563,132,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.6,3.8,3.6667,0,Y,5,Y,0,0,Y,0,0
180,185,83,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.8,5,4.8667,0,Y,11,Y,0,21,Y,0,1
181,507,168,Y,Y,Y,Y,Y,Y,M,M,0,Y,4,3.8,3.9333,0,Y,10,Y,0,7,Y,0,3
182,680,173,Y,Y,Y,Y,Y,Y,F,W,0,Y,1.6,2.8,2,0,Y,5,Y,0,7,Y,0,0
183,559,80,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4,4,0,Y,6,Y,0,38,Y,0,16
184,481,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.6,4,3.7333,0,Y,10,Y,0,30,Y,0,13
185,719,18,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.8,4,3.8667,0,Y,14,Y,0,26,Y,0,9
186,158,79,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4.8,4.2667,0,Y,5,Y,0,7,Y,0,1
187,65,29,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.1,5,4.4,0,Y,5,Y,0,40,Y,0,14
188,171,82,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.9,5,4.9333,0,Y,3,Y,0,7,Y,0,1
189,469,171,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.7,2.2,3.0667,0,Y,16,Y,0,47,Y,0,33
190,626,124,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4.6,4.0667,0,Y,10,Y,0,15,Y,0,1
191,660,30,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.8,4,4.5333,0,Y,6,Y,0,22,Y,0,0
192,101,45,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.4,2.8,3.2,0,Y,8,Y,0,13,Y,0,0
193,393,132,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.7,4.4,4.6,0,Y,6,Y,0,28,Y,0,6
194,172,82,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.9,4,3.9333,0,Y,4,Y,0,10,Y,0,1
195,209,89,Y,Y,Y,Y,Y,Y,F,P,0,Y,3.5,3.2,3.4,0,Y,4,Y,0,6,Y,0,2
196,66,29,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,3.6,3.8667,0,Y,12,Y,0,36,Y,0,15
197,115,62,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.7,5,4.8,0,Y,6,Y,0,32,Y,0,14
198,253,104,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.4,4.2,3.6667,0,Y,7,Y,0,16,Y,0,3
199,302,124,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.1,5,4.4,0,Y,5,Y,0,16,Y,0,1
200,721,173,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.9,5,4.9333,0,Y,8,Y,0,59,Y,0,19
201,194,88,Y,Y,Y,Y,Y,Y,F,M,0,Y,3.7,3.8,3.7333,0,Y,8,Y,0,37,Y,0,12
202,500,172,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4.2,3.9333,0,Y,3,Y,0,24,Y,0,8
203,355,130,Y,Y,Y,Y,Y,Y,M,H,0,Y,4.5,5,4.6667,0,Y,6,Y,0,0,Y,0,0
204,480,172,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.3,2.2,2.2667,0,Y,5,Y,0,1,Y,0,0
205,197,88,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4,4,0,Y,8,Y,0,31,Y,0,30
206,279,124,Y,Y,Y,Y,Y,Y,M,M,0,Y,2.1,2.2,2.1333,0,Y,8,Y,0,6,Y,0,8
207,35,13,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.1,4.2,4.1333,0,Y,11,Y,0,15,Y,0,5
208,17,10,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4.8,4.2,0,Y,7,Y,0,10,Y,0,2
